Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
JZI,Airlines,Online,Basic Plan,3,INDONESIA,18.0,6.3,M,53,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,16.0,4.0,F,30,No
ADM,Travel Agency,Online,Premier Plan,88,FRANCE,0.0,49.4,M,22,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,29.5,7.38,F,30,No
CCR,Travel Agency,Offline,Comprehensive Plan,64,THAILAND,29.0,9.57,F,53,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,F,51,No
C2B,Airlines,Online,Annual Silver Plan,387,SINGAPORE,216.0,54.0,F,36,No
JZI,Airlines,Online,Basic Plan,50,PHILIPPINES,47.0,16.45,F,31,No
JZI,Airlines,Online,Basic Plan,24,PHILIPPINES,22.0,7.7,M,63,No
JWT,Airlines,Online,Value Plan,18,INDIA,31.0,12.4,M,118,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,161.0,40.25,F,25,No
C2B,Airlines,Online,Silver Plan,42,SINGAPORE,91.0,22.75,M,29,No
JZI,Airlines,Online,Value Plan,32,JAPAN,69.0,24.15,F,48,No
C2B,Airlines,Online,Silver Plan,42,SINGAPORE,49.0,12.25,F,33,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,39.0,9.75,F,76,No
JZI,Airlines,Online,Basic Plan,17,CHINA,35.0,12.25,F,29,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,39.0,9.75,F,35,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,69.5,17.38,F,32,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,86.4,21.6,M,17,No
TST,Travel Agency,Offline,Travel Cruise Protect,47,THAILAND,30.0,10.5,F,53,No
C2B,Airlines,Online,Annual Silver Plan,387,SINGAPORE,216.0,54.0,M,41,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,30.55,7.64,M,33,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,F,59,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,22.5,5.63,F,43,No
JZI,Airlines,Online,Basic Plan,4,THAILAND,18.0,6.3,M,57,No
C2B,Airlines,Online,Annual Gold Plan,370,SINGAPORE,333.0,83.25,F,34,No
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,29.0,7.25,F,33,No
ART,Airlines,Online,Value Plan,8,INDONESIA,29.0,10.15,M,118,No
C2B,Airlines,Online,Silver Plan,60,SINGAPORE,47.5,11.88,F,28,No
JZI,Airlines,Online,Basic Plan,41,PHILIPPINES,37.0,12.95,F,38,No
JZI,Airlines,Online,Basic Plan,5,MYANMAR,18.0,6.3,M,37,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,72.0,18.0,F,22,No
ART,Airlines,Online,24 Protect,3,PHILIPPINES,7.19,2.52,M,48,No
RAB,Airlines,Online,Value Plan,47,BRUNEI DARUSSALAM,15.0,6.0,M,22,No
JZI,Airlines,Online,Basic Plan,9,MALAYSIA,18.0,6.3,M,54,No
ART,Airlines,Online,24 Protect,29,THAILAND,4.43,1.55,F,48,No
C2B,Airlines,Online,Annual Silver Plan,427,SINGAPORE,-291.75,72.94,M,66,No
C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,65.65,16.41,F,25,Yes
JZI,Airlines,Online,Value Plan,148,AUSTRALIA,58.0,20.3,F,60,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,24.5,6.13,M,33,No
C2B,Airlines,Online,Silver Plan,27,SINGAPORE,78.5,19.63,F,45,No
JZI,Airlines,Online,Basic Plan,18,SRI LANKA,26.0,9.1,M,62,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,30.0,7.5,M,32,No
JZI,Airlines,Online,Basic Plan,31,MALAYSIA,18.0,6.3,M,45,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,F,24,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,27.0,6.75,M,22,No
JZI,Airlines,Online,Value Plan,13,"KOREA, REPUBLIC OF",45.0,15.75,F,39,No
TST,Travel Agency,Offline,Travel Cruise Protect,17,MALAYSIA,30.0,10.5,M,42,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,F,26,No
JZI,Airlines,Online,Basic Plan,66,PHILIPPINES,22.0,7.7,F,51,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,67.0,16.75,F,31,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,44.85,11.21,M,59,No
TST,Travel Agency,Offline,Travel Cruise Protect,84,MALAYSIA,30.0,10.5,F,60,No
JZI,Airlines,Online,Value Plan,25,JAPAN,58.0,20.3,M,42,No
JZI,Airlines,Online,Basic Plan,46,MALAYSIA,18.0,6.3,F,53,No
JZI,Airlines,Online,Basic Plan,7,PHILIPPINES,22.0,7.7,M,45,No
JZI,Airlines,Online,Basic Plan,59,PHILIPPINES,33.0,11.55,F,41,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,24.5,6.13,M,28,No
JZI,Airlines,Online,Value Plan,13,UNITED STATES,73.0,25.55,M,44,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,M,38,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,F,40,No
JZI,Airlines,Online,Value Plan,62,JAPAN,45.0,15.75,M,48,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,14.95,3.74,M,46,No
