Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
C2B,Airlines,Online,Bronze Plan,Yes,9.0,SINGAPORE,17.0,4.25,F,30.0
C2B,Airlines,Online,Bronze Plan,Yes,13.0,SINGAPORE,72.0,18.0,F,57.0
C2B,Airlines,Online,Silver Plan,Yes,14.0,SINGAPORE,29.5,7.38,F,37.0
C2B,Airlines,Online,Silver Plan,No,9.0,SINGAPORE,22.5,5.63,M,42.0
C2B,Airlines,Online,Silver Plan,Yes,25.0,SINGAPORE,78.5,19.63,M,50.0
C2B,Airlines,Online,Silver Plan,No,24.0,SINGAPORE,29.0,7.25,F,33.0
JWT,Airlines,Online,Value Plan,No,19.0,INDIA,62.0,24.8,M,118.0
C2B,Airlines,Online,Annual Silver Plan,No,405.0,SINGAPORE,161.0,40.25,M,33.0
C2B,Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,17.0,4.25,F,73.0
C2B,Airlines,Online,Bronze Plan,Yes,32.0,SINGAPORE,73.0,17.25,F,23.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,47.0,11.75,F,28.0
JZI,Airlines,Online,Value Plan,Yes,28.0,HONG KONG,45.0,15.75,F,27.0
JZI,Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,48.0
C2B,Airlines,Online,Annual Silver Plan,Yes,368.0,SINGAPORE,252.85,63.21,M,30.0
JZI,Airlines,Online,Basic Plan,No,17.0,MALAYSIA,22.0,7.7,M,56.0
JZI,Airlines,Online,Basic Plan,Yes,15.0,HONG KONG,35.0,12.25,M,25.0
C2B,Airlines,Online,Annual Silver Plan,Yes,382.0,SINGAPORE,252.85,63.21,F,34.0
C2B,Airlines,Online,Annual Silver Plan,Yes,457.0,SINGAPORE,252.85,63.21,F,29.0
KML,Travel Agency,Online,Value Plan,No,20.0,INDONESIA,22.0,8.36,F,48.0
C2B,Airlines,Online,Annual Silver Plan,Yes,367.0,SINGAPORE,291.75,72.94,M,31.0
C2B,Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,252.85,63.21,F,26.0
JZI,Airlines,Online,Basic Plan,No,23.0,MALAYSIA,22.0,7.7,F,54.0
C2B,Airlines,Online,Silver Plan,Yes,12.0,SINGAPORE,48.5,12.13,F,36.0
C2B,Airlines,Online,Bronze Plan,Yes,2.0,SINGAPORE,27.0,6.75,F,23.0
