Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
C2B,Airlines,Online,Annual Silver Plan,Yes,311,SINGAPORE,231.26,17.96,F,40
C2B,Airlines,Online,Annual Silver Plan,Yes,405,SINGAPORE,200.25,142.67,M,34
C2B,Airlines,Online,Annual Gold Plan,Yes,381,SINGAPORE,302.8,128.65,M,38
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,371,SINGAPORE,240.31,147.05,M,42
C2B,Airlines,Online,Annual Silver Plan,Yes,393,SINGAPORE,246.62,67.28,M,37
C2B,Airlines,Online,Annual Silver Plan,Yes,354,SINGAPORE,252.07,61.22,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,395,SINGAPORE,175.68,55.87,M,32
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,386,CHINA,214.07,133.11,F,63
C2B,Airlines,Online,Annual Silver Plan,Yes,462,SINGAPORE,101.84,51.55,F,61
C2B,Airlines,Online,Annual Gold Plan,Yes,363,SINGAPORE,337.61,71.17,F,45
C2B,Airlines,Online,Annual Silver Plan,Yes,400,SINGAPORE,257.76,164.07,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,367,SINGAPORE,453.83,118.3,M,28
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,385,CHINA,208.08,142.91,M,54
C2B,Airlines,Online,Annual Silver Plan,Yes,457,SINGAPORE,231.67,121.73,M,51
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,380,SINGAPORE,226.46,142.86,M,31
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,362,SINGAPORE,202.25,153.03,M,33
C2B,Airlines,Online,Annual Silver Plan,Yes,407,SINGAPORE,392.9,174.15,M,48
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,390,CHINA,238.65,141.5,M,33
C2B,Airlines,Online,Annual Silver Plan,Yes,353,SINGAPORE,243.88,53.06,M,46
C2B,Airlines,Online,Annual Silver Plan,Yes,385,SINGAPORE,220.1,60.26,M,44
LWC,Travel Agency,Online,Annual Silver Plan,Yes,354,SINGAPORE,336.74,89.48,M,31
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,412,SINGAPORE,179.52,113.82,M,36
C2B,Airlines,Online,Annual Silver Plan,Yes,417,SINGAPORE,182.85,55.83,F,55
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,Yes,103,JAPAN,77.72,18.73,M,35
C2B,Airlines,Online,Annual Gold Plan,Yes,369,SINGAPORE,306.52,99.57,M,47
C2B,Airlines,Online,Annual Silver Plan,Yes,393,SINGAPORE,202.38,50.92,M,27
CCR,Travel Agency,Offline,Comprehensive Plan,Yes,86,THAILAND,26.71,9.23,F,73
C2B,Airlines,Online,Silver Plan,Yes,20,SINGAPORE,38.78,15.0,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,425,SINGAPORE,187.26,118.84,M,31
C2B,Airlines,Online,Annual Silver Plan,Yes,448,SINGAPORE,319.74,175.61,M,48
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,7,CHINA,33.41,44.37,F,23
C2B,Airlines,Online,Annual Silver Plan,Yes,367,SINGAPORE,323.2,98.02,F,44
C2B,Airlines,Online,Annual Silver Plan,Yes,389,SINGAPORE,274.55,61.88,F,65
C2B,Airlines,Online,Annual Gold Plan,Yes,428,SINGAPORE,236.82,65.11,M,40
C2B,Airlines,Online,Annual Silver Plan,Yes,438,SINGAPORE,166.4,128.33,M,29
C2B,Airlines,Online,Annual Silver Plan,Yes,408,SINGAPORE,235.87,61.28,F,33
C2B,Airlines,Online,Annual Silver Plan,Yes,361,SINGAPORE,208.87,55.75,M,44
C2B,Airlines,Online,Annual Silver Plan,Yes,421,SINGAPORE,253.06,97.79,M,33
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,41,PHILIPPINES,29.02,17.87,F,25
C2B,Airlines,Online,Annual Silver Plan,Yes,376,SINGAPORE,181.24,77.37,M,39
C2B,Travel Agency,Online,Annual Travel Protect Gold,Yes,396,SINGAPORE,274.34,151.65,M,48
C2B,Travel Agency,Online,Annual Silver Plan,Yes,376,SINGAPORE,195.38,55.19,F,40
CSR,Travel Agency,Offline,Comprehensive Plan,Yes,66,THAILAND,23.32,7.94,M,72
C2B,Airlines,Online,Annual Silver Plan,Yes,399,SINGAPORE,372.31,154.63,M,22
C2B,Airlines,Online,Annual Silver Plan,Yes,380,CHINA,144.46,55.31,F,55
C2B,Airlines,Online,Annual Silver Plan,Yes,421,SINGAPORE,186.24,48.48,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,386,SINGAPORE,188.05,48.9,M,30
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,382,CHINA,186.1,120.14,F,68
C2B,Travel Agency,Online,Annual Silver Plan,Yes,399,SINGAPORE,222.9,155.03,M,55
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,Yes,348,CHINA,40.46,23.72,F,27
TTW,Travel Agency,Online,Annual Silver Plan,Yes,379,SINGAPORE,221.13,29.26,F,46
TTW,Travel Agency,Offline,Individual Comprehensive Plan,Yes,369,"KOREA, REPUBLIC OF",116.2,25.81,F,43
LWC,Travel Agency,Online,Annual Travel Protect Silver,Yes,376,CHINA,137.5,50.06,F,30
C2B,Airlines,Online,Annual Gold Plan,Yes,331,SINGAPORE,436.09,54.51,M,26
LWC,Travel Agency,Online,Annual Travel Protect Gold,Yes,353,CHINA,170.59,101.54,F,36
C2B,Airlines,Online,Annual Silver Plan,Yes,425,SINGAPORE,289.09,67.83,F,62
C2B,Airlines,Online,Annual Silver Plan,Yes,401,SINGAPORE,207.64,80.77,M,33
